generated_smiles,is_valid,length,druglikeness_proxy,is_novel,diversity_proxy
cOc1cNc1,True,8,2.0,True,4
(CNOC,True,5,1.5,True,4
COCC)N,True,6,1.5,True,4
COCNCC),True,7,1.5,True,4
CCNO,True,4,1.5,True,3
(C1OrC),True,7,1.0,True,6
COcC)=)CS,True,9,1.0,True,6
OCC(OO)1,True,8,1.0,True,5
CCC((C)O#,True,9,1.0,True,5
C(N=,True,4,1.0,True,4
#CcCO,True,5,1.0,True,4
OrSCC,True,5,1.0,True,4
C(OC1,True,5,1.0,True,4
CSC(CO,True,6,1.0,True,4
CCNC(=,True,6,1.0,True,4
C(COC)C,True,7,1.0,True,4
B=CCOCO,True,7,1.0,True,4
CC(C))O,True,7,1.0,True,4
1CCCO)O,True,7,1.0,True,4
rCOC(CO,True,7,1.0,True,4
CC(CC)COC,True,9,1.0,True,4
(C)C)(C)(C))N,True,13,1.0,True,4
OCC),True,4,1.0,True,3
BCOO,True,4,1.0,True,3
CC1N,True,4,1.0,True,3
CC(O,True,4,1.0,True,3
COC)C,True,5,1.0,True,3
CCCO1,True,5,1.0,True,3
OC)CC,True,5,1.0,True,3
C)C)CN,True,6,1.0,True,3
CCC(CO,True,6,1.0,True,3
C)COCO,True,6,1.0,True,3
CCOCCB,True,6,1.0,True,3
CCO((CO,True,7,1.0,True,3
CC((OOC,True,7,1.0,True,3
CC)COCC,True,7,1.0,True,3
CCCO,True,4,1.0,True,2
CCNNC,True,5,1.0,True,2
NCCCN,True,5,1.0,True,2
c1cc1,True,5,1.0,True,2
CCCCO,True,5,1.0,True,2
CNCNCN,True,6,1.0,True,2
CCCOCC,True,6,1.0,True,2
(CS,True,3,0.5,True,3
=C(C,True,4,0.5,True,3
CC(S,True,4,0.5,True,3
CBC(B,True,5,0.5,True,3
C(C)),True,5,0.5,True,3
CC(C),True,5,0.5,True,3
CC=C),True,5,0.5,True,3
CC))l,True,5,0.5,True,3
C(CC)),True,6,0.5,True,3
CO,True,2,0.5,True,2
CC1,True,3,0.5,True,2
CC(,True,3,0.5,True,2
1CC,True,3,0.5,True,2
CC),True,3,0.5,True,2
C#C,True,3,0.5,True,2
CC(C,True,4,0.5,True,2
CCC(C,True,5,0.5,True,2
CC)C)C,True,6,0.5,True,2
CCC)CCC,True,7,0.5,True,2
CC)CCCC),True,8,0.5,True,2
O,True,1,0.5,True,1
CCCC,True,4,0.5,True,1
B,True,1,0.0,True,1
CC,True,2,0.0,True,1
CC(=O)O,True,7,1.0,False,5
COC,True,3,1.0,False,2
CCN,True,3,1.0,False,2
CCO,True,3,1.0,False,2
CCC,True,3,0.5,False,1
o#o()SC)(=cOcCN,False,15,1.5,True,10
CC)NnO,False,6,1.5,True,5
CCOnN,False,5,1.5,True,4
CCOnC=#,False,7,1.0,True,5
N(o,False,3,1.0,True,3
CCC(C)o#,False,8,0.5,True,5
cccBc)ncc,False,9,0.5,True,4
No,False,2,0.5,True,2
,False,0,0.0,True,2
o1,False,2,0.0,True,2
